CODIGO,DESCRIPCION
714,BLANCO VERDE ROJO Y AZUL
715,BLANCO VERDE ROJO Y NEGRO
716,BLANCO VERDE Y AMARILLO
717,BLANCO VERDE Y AZUL
718,BLANCO VERDE Y GRIS
719,BLANCO VERDE Y HABANO
720,BLANCO VERDE Y NARANJA
721,BLANCO VERDE Y VINOTINTO
722,BLANCO VERDE Y ZAPOTE 
723,BLANCO VERDE ZAPOTE Y PLATEADO
724,BLANCO VINO TINTO
725,BLANCO VINOTINTO Y GRIS
726,BLANCO VIOLETA
416,BLANCO Y
727,BLANCO Y  ZANAHORIA
728,BLANCO Y AMARILLO
729,BLANCO Y AZUL
730,BLANCO Y AZUL TURQUEZA
731,BLANCO Y BEIGE
732,BLANCO Y CAFE
733,BLANCO Y CORAL
734,BLANCO Y CREMA
735,BLANCO Y DIVERSOS COLORES
736,BLANCO Y DURAZNO
737,BLANCO Y FJ AZUL MARFIL Y ROJA
738,BLANCO Y FJA NEGRO
739,BLANCO Y FRANJA AZUL
740,BLANCO Y FUCSIA
741,BLANCO Y GRIS
742,BLANCO Y GRIS METALIZADO
743,BLANCO Y GRIS PLATINO
744,BLANCO Y HABANO
745,BLANCO Y LILA
746,BLANCO Y MARFIL
747,BLANCO Y MARRON
748,BLANCO Y MORADO
749,BLANCO Y NARANJA
750,BLANCO Y NEGRO
751,BLANCO Y NIQUEL
752,BLANCO Y PLATEADO METALICO
753,BLANCO Y PURPURA
754,BLANCO Y ROJO
755,BLANCO Y ROJO CANABAL
756,BLANCO Y ROSADO
757,BLANCO Y VERDE
758,BLANCO Y VERDE 3 TONOS
759,BLANCO Y VERDE ESMERALDA
760,BLANCO Y VERDE FRANJA NARANJA
761,BLANCO Y VERDE METALIZADO
762,BLANCO Y VERDE TURQUESA
763,BLANCO Y VINILO NEGRO
764,BLANCO Y VINOTINTO
765,BLANCO Y VIOLETA
766,BLANCO Y ZAPOTE
767,BLANCO Y/O VERDE
768,BLANCO ZEUS
769,BLANCO/PLATA
191,BLUISH RED
192,BRAUM CASTILLA
193,BRAUM METALIZAD
195,BRILLANTROT
412,BRONCE
196,BRONCE APOLO
770,BRONCE MARFIL CAFE
771,BRONCE Y BLANCO
772,BRONCE Y MARFIL
773,BRUND DE TANA
774,BURDEO METALICO
11,CAFE
12,CAFE BEIGE
19,CAFE MARRON
438,CAMUFLADO
197,CANELA
775,CAOBA
198,CAOBA REAL
776,CAOBA Y HABANO
199,CAPE BLUE
200,CARDO
777,CARDO PLATEADO
778,CARMELITA
14,CARMELITO PLATE
779,CARNAUBA
201,CARRIGADA
202,CASHMERE
203,CELESTE METALIC
780,CELESTE METALIZADO
781,CENIZA EJECUTIVO
68,CENIZA GRAFITO
69,CEREZA
204,CEREZA ROJA
782,CEREZO OTOÑAL METALIZADO
451,CHAMPAGNA
783,CHAMPAGNE CLARO
784,CHAMPAGNE POLY
15,CHAMPANA
205,CHAMPANA METALI
785,CHAMPAÑA
786,CHAMPAÑA CLARO
787,CHAMPAÑA DORADO
788,CHAMPAÑA METALIZADO
789,CHAMPAÑA METALIZADO Y BLANCO
790,CHAMPAÑA MICA METALICA
791,CHAMPAÑA PERLADO
792,CHAMPAÑA Y BLANCO
793,CHAMPAÑA Y CAFE
794,CHAMPAÑA Y GRIS
795,CHAMPAÑA Y GRIS PLOMO METAL.
796,CHAMPAÑA Y NARANJA
797,CHAMPAÑA Y NEGRO
206,CHERRYRED
207,CILICE TORNADO
70,CINZA EJECUTIVO
208,CINZA GRAFITO
798,CITRONELLA
799,CLEAN SILVER
71,COBRE
209,COBRE METALIZAD
800,COBRIZO METALICO
210,COHET
91,CORAL
